"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000123689",1826.80806606219,0.818497007208527,0.196593197321907,4.16340452446224,3.13537163847438e-05,0.023586564211924,"G0S2"
"ENSG00000202031",1442.98571556862,-0.745542360836817,0.194097303902129,-3.84107530526413,0.000122496524897032,0.0449422824587277,"SNORD38A"
"ENSG00000207241",562.184009760365,-0.803470557191024,0.231472838805007,-3.4711224061492,0.000518287682207043,0.0897697982623291,"SNORD45A"
"ENSG00000233421",1027.94179044507,-0.781200852219929,0.23034269795592,-3.39147218102578,0.000695182200395942,0.0935913865218765,"LINC01783"
"ENSG00000283657",865.948592574696,0.903511059339369,0.250193987946369,3.61124208761181,0.000304734038885387,0.0668574236237439,NA
"ENSG00000248592",959.345826288413,-0.781350795434104,0.224571627457589,-3.47929435378771,0.000502736053459638,0.0897697982623291,"STIMATE-MUSTN1"
"ENSG00000272573",691.310681574527,-0.918973718653372,0.24717768034081,-3.71786691009595,0.000200912062212769,0.0554763447717703,"MUSTN1"
"ENSG00000234594",863.11914777734,0.821293335673061,0.242147912398399,3.39170107864407,0.000694601747393543,0.0935913865218765,NA
"ENSG00000091986",520.469053730045,-1.17223902124545,0.262282885558131,-4.46936908884068,7.8450656515409e-06,0.00924148733751518,"CCDC80"
"ENSG00000072274",3177.08281604895,0.684639435999113,0.180614473764611,3.7906122456796,0.000150276401433617,0.0505787431110861,"TFRC"
"ENSG00000038427",527.285900451268,-1.13039719706363,0.241148311011882,-4.68756008416716,2.76481542173307e-06,0.00434260342240207,"VCAN"
"ENSG00000254132",138043.403197724,-0.658787786127889,0.1682830115214,-3.9147610930656,9.04937664675856e-05,0.0387642388722967,"MTND6P3"
"ENSG00000113657",1531.37697468454,-0.660163639675558,0.191442846515368,-3.44835887938263,0.000564004107518999,0.0897697982623291,"DPYSL3"
"ENSG00000199990",1076.37613308106,-1.01622789057322,0.249391863167447,-4.07482376396097,4.60492068726548e-05,0.023990883342608,"VTRNA1-1"
"ENSG00000111816",432.019281293811,-0.985226864023555,0.289006426168822,-3.40901369247768,0.000651982071792107,0.0932245361314013,"FRK"
"ENSG00000202441",8508.74576058368,-0.677166182216663,0.198661995514829,-3.40863475402932,0.000652888304825179,0.0932245361314013,"RNY4P10"
"ENSG00000252316",8834.07279449406,-0.680173031436191,0.196171030635063,-3.46724503222658,0.000525822322559479,0.0897697982623291,"RNY4"
"ENSG00000202354",1543.3128059605,-0.840953423157628,0.206825752429747,-4.06599958311902,4.78270210432436e-05,0.023990883342608,"RNY3"
"ENSG00000185915",559.544915630604,-0.806102125047531,0.228506888108987,-3.52769289240444,0.000419198206817353,0.0823025812718069,"KLHL34"
"ENSG00000199410",849.128317520304,-0.85193927071075,0.247313627550487,-3.44477285440663,0.000571539462620941,0.0897697982623291,NA
"ENSG00000200291",1335.66895282044,-0.855363565349086,0.211128461406701,-4.05138918575919,5.09144383332088e-05,0.023990883342608,NA
"ENSG00000215187",497.046938963979,0.851491431571733,0.236197330994981,3.60500022580622,0.00031215265698692,0.0668574236237439,"FAM166B"
"ENSG00000200090",1206.26349920223,-0.82867741886131,0.215908449795209,-3.83809628408391,0.000123991865866609,0.0449422824587277,NA
"ENSG00000181418",1261.96302991831,-1.05848287735036,0.211311994262911,-5.00909984330283,5.46851999923286e-07,0.00128838331181926,"DDN"
"ENSG00000200156",11862.7643737223,-0.713389538106402,0.196824379985945,-3.62449782977772,0.000289523451204075,0.0668574236237439,"RNU5B-1"
"ENSG00000166147",2364.72739284514,-1.22480928169645,0.214591541221143,-5.70763076087068,1.14559604531082e-08,5.3980485655046e-05,"FBN1"
"ENSG00000006788",7537.97279599435,0.621305592698438,0.171248585820882,3.62809181588392,0.000285523727371393,0.0668574236237439,"MYH13"
"ENSG00000263934",8603.42867805348,-0.581215014923178,0.172071925535159,-3.37774458625687,0.000730829275162808,0.095657431793532,NA
"ENSG00000054793",682.285930544003,-0.853427466566013,0.247434525775422,-3.44910421814216,0.000562449577785651,0.0897697982623291,"ATP9A"
"ENSG00000240474",554.032719277858,0.859088656685718,0.231912573419714,3.70436429563888,0.000211921520775014,0.0554763447717703,"RN7SL116P"
"ENSG00000199017",944.925846946986,0.798664681873905,0.213998833342717,3.73209829884844,0.000189891367133947,0.0554763447717703,"MIR1-1"
"ENSG00000239742",4278.2158525498,0.653800346639049,0.191177300573781,3.41986388905376,0.00062652475298995,0.0932245361314013,"RN7SL672P"
"ENSG00000077009",1232.93474178081,-1.06921323564858,0.249427806761756,-4.28666414354456,1.81376194727576e-05,0.0170928925911268,"NMRK2"
"ENSG00000086967",29841.725214331,0.611471602731477,0.173205177560776,3.53033097129511,0.000415040117793439,0.0823025812718069,"MYBPC2"
"ENSG00000269736",866.096642147793,1.28497366853552,0.310532499873809,4.13796838996785,3.50394629633845e-05,0.023586564211924,NA
"ENSG00000210194",154315.033612685,-0.62731606140995,0.16649901463579,-3.76768633004934,0.000164767550631421,0.051758979905017,NA
"ENSG00000277475",690.992836112354,-0.901096566036471,0.267664481954186,-3.36651527112478,0.000761243671802302,0.0969454103116877,NA
